,"English","French","Spanish",
"claire1","This text was automatically retrieved from a CSV","Ce texte a été automatiquement récupéré à partir d'un CSV","Este texto fue recuperada automáticamente desde un CSV",
"claire2","All localized text/dialogue coming from a CSV will be fetched in the language specified in LocalizationManager.cs. This can be changed by calling UIManager's Set_Language() method.","Tout texte localisé / dialogue provenant d'un CSV sera récupéré dans la langue spécifiée dans LocalizationManager.cs. Ceci peut être changé en appelant set_language () la méthode de UIManager.","Todo el texto / diálogo localizada procedente de un archivo CSV se fue a buscar en el idioma especificado en LocalizationManager.cs. Esto puede cambiarse llamando al método UIManager set_language ().",
"claire3","You can use the localized text in Dialogue Nodes by selecting 'Localized_Text_From_CSV' in the 'Dialogue text comes from' field","Vous pouvez utiliser le texte localisé dans DialogueNodes en définissant le «texte de dialogue vient de 'champ' Localized_Text_From_CSV ', et en entrant une clé.","Puede utilizar el texto traducido en DialogueNodes estableciendo el ""texto Diálogo proviene de"" campo de 'Localized_Text_From_CSV', y la introducción de una clave.",
"claire4","Keys are the values in the first column of the CSV. You can think of them as addresses.","Les clés sont les valeurs dans la première colonne du CSV. Vous pouvez les considérer comme des adresses.","Las claves son los valores de la primera columna de la CSV. Se puede pensar en ellos como direcciones.",
"claire5","Keys must be UNIQUE.","Les clés doivent être uniques.","Las claves deben ser únicas.",
"claire6","The user interface has its own Localized_UI_CSV located in UIManager. Add more rows to the CSV"," and then add a LocalizedTextElement script to any gameobject containing a text item to be filled automatically.","L'interface utilisateur a son propre Localized_UI_CSV situé dans UIManager. Ajouter plus de lignes à ce CSV, puis ajouter un script LocalizedTextElement à tout gameobject contenant un élément de texte pour l'avoir rempli automatiquement.","La interfaz de usuario tiene su propio conjunto de Localized_UI_CSV UIManager. Añadir más filas a la CSV, a continuación, agregar una secuencia de comandos LocalizedTextElement a cualquier GameObject que contiene un elemento de texto para que se rellena automáticamente."
"localized_choice","Localized Choice","Choix localisé","Selección localizada",
"apple","Apple","Pomme ","Manzana ",
"orange","Orange","Orange","Naranja",
"banana","Banana","Banane","Plátano",
